Sequence_Name	Extraction_ID
AbC0205606D	Abu-CPnd_056-Ex1-6D-lcwgs-1-2
AbC0201006E	Abu-CPnd_010-Ex1-6E-lcwgs-1-2
AbC0204806G	Abu-CPnd_048-Ex1-6G-lcwgs-1-2
AbC0205906C	Abu-CPnd_059-Ex1-6C-lcwgs-1-2
AbC0207406B	Abu-CPnd_074-Ex1-6B-lcwgs-1-2
AbC0206306F	Abu-CPnd_063-Ex1-6F-lcwgs-1-2
AbC0207007A	Abu-CPnd_070-Ex1-7A-lcwgs-1-2
AbC0203807B	Abu-CPnd_038-Ex1-7B-lcwgs-1-2
AbC0205407G	Abu-CPnd_054-Ex1-7G-lcwgs-1-2
AbC0200407F	Abu-CPnd_004-Ex1-7F-lcwgs-1-2
AbC0200807C	Abu-CPnd_008-Ex1-7C-lcwgs-1-2
AbC0200507H	Abu-CPnd_005-Ex1-7H-lcwgs-1-2
AbC0206008C	Abu-CPnd_060-Ex1-8C-lcwgs-1-2
AbC0200908D	Abu-CPnd_009-Ex1-8D-lcwgs-1-2
AbC0203308G	Abu-CPnd_033-Ex1-8G-lcwgs-1-2
AbC0205108H	Abu-CPnd_051-Ex1-8H-lcwgs-1-2
AbC0206808B	Abu-CPnd_068-Ex1-8B-lcwgs-1-2
AbA0600204F	Abu-APnd_002-Ex1-4F-lcwgs-1-2
AbA0600905E	Abu-APnd_009-Ex1-5E-lcwgs-1-2
AbA0600505A	Abu-APnd_005-Ex1-5A-lcwgs-1-2
AbA0600605B	Abu-APnd_006-Ex1-5B-lcwgs-1-2
AbA0601105G	Abu-APnd_011-Ex1-5G-lcwgs-1-2
AbA0601806F	Abu-APnd_018-Ex1-6F-lcwgs-1-2
AbA0601906G	Abu-APnd_019-Ex1-6G-lcwgs-1-2
AbA0601306A	Abu-APnd_013-Ex1-6A-lcwgs-1-2
AbA0602507E	Abu-APnd_025-Ex1-7E-lcwgs-1-2
AbA0603607D	Abu-APnd_036-Ex1-7D-lcwgs-1-2
AbA0603407B	Abu-APnd_034-Ex1-7B-lcwgs-1-2
AbA0602707G	Abu-APnd_027-Ex1-7G-lcwgs-1-2
AbA0602108E	Abu-APnd_021-Ex1-8E-lcwgs-1-2
AbA0602908A	Abu-APnd_029-Ex1-8A-lcwgs-1-2
AbA0603208D	Abu-APnd_032-Ex1-8D-lcwgs-1-2
AbA0602308G	Abu-APnd_023-Ex1-8G-lcwgs-1-2
AbA0603709A	Abu-APnd_037-Ex1-9A-lcwgs-1-2
AbA0604209F	Abu-APnd_042-Ex1-9F-lcwgs-1-2
AbA0604810D	Abu-APnd_048-Ex1-10D-lcwgs-1-2
AbA0604710C	Abu-APnd_047-Ex1-10C-lcwgs-1-2
AbC0200605A	Abu-CPnd_006-Ex1-5A-lcwgs-1-2
AbC0203505D	Abu-CPnd_035-Ex1-5D-lcwgs-1-2
AbC0204606H	Abu-CPnd_046-Ex1-6H-lcwgs-1-2
AbC0203907D	Abu-CPnd_039-Ex1-7D-lcwgs-1-2
AbC0204907E	Abu-CPnd_049-Ex1-7E-lcwgs-1-2
AbA0600304G	Abu-APnd_003-Ex1-4G-lcwgs-1-2
AbA0601706E	Abu-APnd_017-Ex1-6E-lcwgs-1-2
AbA0601406B	Abu-APnd_014-Ex1-6B-lcwgs-1-2
AbA0602208F	Abu-APnd_022-Ex1-8F-lcwgs-1-2
AbA0602408H	Abu-APnd_024-Ex1-8H-lcwgs-1-2
AbA0603008B	Abu-APnd_030-Ex1-8B-lcwgs-1-2
